Gender,Age,BusinessTravel,Department,DistanceFromHome,Education,EnvironmentSatisfaction,HourlyRate,JobSatisfaction,MaritalStatus,OverTime,PercentSalaryHike,TotalWorkingYears,WorkLifeBalance,YearsAtCompany,MonthlyIncome
Male,28,Travel_Rarely,Research & Development,2,Master,Low,79,High,Single,No,11,5,Bad,0,3485
Male,29,Travel_Rarely,Sales,2,Bachelor,Low,78,Medium,Married,No,19,10,Better,0,6644
Male,31,Travel_Rarely,Research & Development,23,Bachelor,Medium,64,Very High,Married,No,21,10,Better,9,5582
Male,25,Non-Travel,Research & Development,5,College,Medium,85,Low,Divorced,No,12,6,Better,6,4000
Male,45,Travel_Rarely,Research & Development,20,College,High,79,Very High,Married,Yes,14,21,Better,20,13496
Male,36,Travel_Rarely,Research & Development,6,Bachelor,Very High,47,Very High,Married,No,11,16,Better,15,3210
Male,55,Travel_Rarely,Research & Development,1,Bachelor,Very High,81,Low,Single,Yes,14,37,Better,36,19045
Male,47,Non-Travel,Research & Development,29,Master,Low,88,Medium,Married,Yes,12,10,Good,10,11849
Male,28,Travel_Rarely,Research & Development,9,Bachelor,Very High,94,Very High,Married,No,23,5,Good,5,2070
Male,37,Travel_Rarely,Sales,6,Master,High,98,Very High,Married,No,14,7,Best,5,6502
Male,21,Travel_Rarely,Research & Development,3,College,Very High,100,High,Single,No,17,3,Best,3,3230
Female,37,Non-Travel,Research & Development,1,Master,Low,80,Very High,Divorced,Yes,18,15,Better,5,13603
Female,35,Travel_Rarely,Research & Development,22,Bachelor,Medium,71,Medium,Divorced,No,18,10,Good,7,11996
Female,38,Travel_Rarely,Sales,7,College,Low,44,Low,Divorced,Yes,24,8,Better,8,5605
Female,26,Travel_Frequently,Research & Development,1,Bachelor,High,84,Medium,Divorced,No,20,6,Bad,6,6397
Male,50,Travel_Rarely,Research & Development,4,Highschool,Low,96,Medium,Divorced,No,14,28,Good,10,19144
Male,53,Travel_Rarely,Research & Development,3,Master,High,45,High,Married,Yes,16,21,Good,5,17584
Male,42,Travel_Rarely,Sales,1,Highschool,Medium,99,High,Married,No,25,20,Better,20,4907
Male,29,Travel_Frequently,Sales,2,College,Medium,44,Very High,Single,No,18,10,Good,10,4554
Male,55,Travel_Rarely,Research & Development,20,College,Medium,37,Very High,Married,Yes,19,12,Better,10,5415
Male,26,Travel_Frequently,Research & Development,11,College,Low,60,Low,Married,Yes,13,5,Better,5,4741
Female,37,Travel_Rarely,Research & Development,1,Bachelor,Very High,42,Very High,Single,No,12,17,Better,17,2115
Male,44,Travel_Frequently,Research & Development,24,Bachelor,Very High,43,High,Divorced,Yes,22,19,Bad,1,3161
Male,38,Travel_Rarely,Research & Development,23,Master,Very High,82,Very High,Divorced,No,14,10,Better,2,5745
Male,26,Travel_Rarely,Research & Development,16,Master,Low,45,Medium,Divorced,Yes,13,5,Better,3,2373
Female,28,Travel_Rarely,Research & Development,8,College,Very High,66,Very High,Single,No,21,5,Better,5,3310
Female,49,Travel_Frequently,Research & Development,10,Master,High,35,Low,Single,Yes,11,22,Better,3,18665
Male,36,Travel_Rarely,Research & Development,3,Bachelor,High,30,Medium,Single,No,12,10,Better,8,4485
Female,31,Travel_Frequently,Sales,5,Bachelor,Very High,84,Medium,Divorced,No,11,2,Good,2,2789
Male,26,Travel_Rarely,Sales,4,Master,Very High,48,Very High,Single,Yes,12,8,Better,8,5828
Male,37,Travel_Frequently,Research & Development,9,Bachelor,Medium,53,Very High,Married,Yes,12,4,Good,4,2326
Female,42,Travel_Frequently,Sales,26,Bachelor,High,77,Medium,Married,No,14,23,Best,20,13525
Male,18,Travel_Rarely,Research & Development,3,Bachelor,High,54,High,Single,No,13,0,Better,0,1420
Male,35,Travel_Rarely,Sales,16,Bachelor,High,96,Medium,Married,No,15,12,Good,11,8020
Male,36,Travel_Frequently,Research & Development,18,Master,High,81,Very High,Married,No,18,4,Better,1,3688
Male,51,Travel_Rarely,Research & Development,2,Bachelor,Very High,84,Medium,Divorced,No,18,13,Better,4,5482
Male,41,Travel_Rarely,Sales,2,Master,Very High,88,Medium,Single,No,19,22,Better,22,16015
Female,18,Travel_Rarely,Sales,10,Bachelor,Very High,69,High,Single,No,12,0,Better,0,1200
Male,28,Travel_Rarely,Research & Development,16,College,Medium,68,Low,Single,No,19,9,Better,8,5661
Male,31,Travel_Rarely,Sales,7,Bachelor,Medium,100,Very High,Married,No,11,10,Good,8,6929
Male,39,Travel_Rarely,Research & Development,1,Bachelor,High,48,Very High,Divorced,No,17,19,Good,18,9613
Female,36,Non-Travel,Research & Development,24,Master,Medium,47,Medium,Married,No,15,11,Better,9,5674
Male,32,Travel_Rarely,Sales,7,Bachelor,Very High,91,High,Married,No,14,13,Good,13,5484
Female,38,Travel_Rarely,Research & Development,25,College,Low,81,Medium,Married,No,17,19,Better,10,12061
Male,58,Non-Travel,Research & Development,1,Master,Very High,32,High,Divorced,Yes,13,12,Better,5,5660
Male,31,Travel_Rarely,Research & Development,5,Master,High,86,Very High,Married,Yes,12,6,Better,5,4821
Male,31,Travel_Rarely,Human Resources,2,Bachelor,Low,62,Low,Married,No,12,9,Better,2,6410
Male,45,Travel_Frequently,Research & Development,7,Bachelor,Low,97,Low,Divorced,No,18,24,Better,24,5210
Male,31,Travel_Rarely,Research & Development,2,Master,High,32,Very High,Divorced,Yes,18,3,Bad,2,2695
Female,33,Travel_Frequently,Research & Development,5,Master,Very High,74,Medium,Married,No,11,12,Better,10,11878
Male,39,Travel_Rarely,Research & Development,10,Highschool,High,99,Low,Married,Yes,14,21,Better,21,17068
Female,43,Travel_Frequently,Research & Development,10,Master,High,33,Very High,Single,No,19,9,Better,8,2455
Female,49,Travel_Rarely,Research & Development,1,College,High,90,High,Single,Yes,12,25,Better,7,13964
Male,52,Travel_Rarely,Research & Development,8,Master,High,85,Medium,Married,No,15,11,Good,8,4941
Female,27,Travel_Rarely,Research & Development,5,Bachelor,High,85,Medium,Single,Yes,12,4,Good,4,2478
Female,32,Travel_Rarely,Sales,8,College,High,65,Medium,Married,Yes,11,13,Better,13,5228
Male,27,Travel_Rarely,Sales,2,Bachelor,Very High,74,High,Single,Yes,11,5,Better,5,4478
Male,31,Travel_Rarely,Sales,7,Bachelor,Very High,73,Very High,Divorced,No,12,13,Better,7,7547
Female,32,Travel_Rarely,Research & Development,2,Master,Low,74,Very High,Single,No,16,10,Good,7,5055
Male,28,Travel_Rarely,Research & Development,2,Master,Low,84,Very High,Married,Yes,13,5,Good,3,3464
Female,30,Travel_Rarely,Research & Development,28,College,Very High,64,Very High,Married,No,13,11,Better,10,5775
Female,31,Travel_Frequently,Research & Development,7,College,High,48,High,Married,No,24,10,Better,10,8943
Male,39,Travel_Frequently,Research & Development,7,College,High,54,Very High,Married,No,15,21,Better,21,19272
Female,39,Travel_Rarely,Sales,3,College,Very High,41,High,Married,Yes,18,12,Good,1,5238
Male,33,Travel_Frequently,Sales,10,Bachelor,Medium,46,Very High,Single,No,14,9,Good,7,4682
Male,47,Travel_Rarely,Research & Development,5,Doctor,Very High,42,High,Married,No,11,21,Better,3,18300
Female,43,Travel_Frequently,Research & Development,10,Master,High,82,High,Divorced,No,11,9,Best,9,5257
Male,27,Non-Travel,Sales,1,Highschool,High,73,Medium,Married,Yes,13,6,Better,5,6349
Female,54,Travel_Frequently,Research & Development,20,Master,Very High,31,High,Single,No,12,20,Good,4,4869
Female,43,Travel_Rarely,Research & Development,7,Bachelor,High,43,Low,Married,No,16,10,Good,1,9985
Male,45,Travel_Rarely,Research & Development,8,Master,Very High,75,Very High,Married,No,14,12,Better,10,3697
Male,40,Travel_Rarely,Sales,1,College,Medium,57,Very High,Married,Yes,22,6,Good,4,7457
Male,29,Travel_Rarely,Research & Development,8,Master,Medium,77,Low,Married,Yes,11,7,Good,7,2119
Male,29,Travel_Rarely,Research & Development,9,Doctor,Medium,30,Very High,Single,No,17,4,Better,3,3983
Female,30,Travel_Rarely,Sales,5,Bachelor,Very High,30,High,Divorced,No,13,10,Better,10,6118
Female,27,Travel_Rarely,Sales,8,Master,Medium,56,Medium,Married,No,18,8,Better,8,6214
Male,37,Travel_Rarely,Research & Development,5,College,Very High,61,Very High,Divorced,No,16,8,Good,6,6347
Male,38,Travel_Rarely,Research & Development,15,College,High,92,Very High,Divorced,Yes,14,12,Better,11,11510
Female,31,Travel_Rarely,Research & Development,7,Master,High,39,Very High,Single,Yes,14,11,Good,11,7143
Female,29,Travel_Rarely,Sales,10,Highschool,Very High,39,Medium,Divorced,Yes,14,7,Better,7,8268
Male,35,Travel_Rarely,Research & Development,5,Master,High,62,Medium,Single,No,13,17,Better,16,8095
Male,23,Travel_Rarely,Research & Development,26,Highschool,High,83,Very High,Divorced,No,12,4,Good,4,2904
Male,41,Travel_Rarely,Research & Development,6,Bachelor,Very High,95,Medium,Single,Yes,15,8,Better,5,6032
Male,47,Travel_Frequently,Sales,4,Highschool,Medium,99,High,Single,No,19,5,Better,0,2976
Female,42,Travel_Rarely,Research & Development,23,Doctor,Low,44,Very High,Single,No,14,16,Better,1,15992
Male,29,Non-Travel,Sales,2,Bachelor,Very High,61,High,Married,No,14,4,Good,4,4649
Male,42,Travel_Rarely,Human Resources,2,Highschool,High,52,High,Divorced,Yes,11,4,Better,3,2696
Female,32,Travel_Rarely,Research & Development,2,Bachelor,High,75,Medium,Married,No,13,8,Better,8,2370
Female,48,Travel_Rarely,Sales,29,Highschool,Low,91,High,Married,No,21,15,Bad,0,12504
Male,37,Travel_Rarely,Research & Development,6,Bachelor,High,51,Low,Divorced,Yes,13,13,Better,7,5974
Female,30,Non-Travel,Sales,25,College,Very High,85,High,Married,Yes,12,4,Best,2,4736
Male,26,Travel_Rarely,Sales,1,Bachelor,High,57,High,Married,No,17,8,Better,8,5296
Male,42,Travel_Rarely,Research & Development,2,Master,Low,98,Very High,Single,No,23,14,Better,1,6781
Female,21,Travel_Frequently,Sales,1,Highschool,Low,99,Medium,Single,Yes,11,3,Better,3,2174
Female,36,Non-Travel,Sales,1,Doctor,Very High,45,Very High,Single,No,15,7,Better,1,6653
Male,36,Travel_Frequently,Sales,3,Master,Low,48,Very High,Married,No,11,16,Better,13,9699
Male,57,Travel_Rarely,Research & Development,1,Master,Very High,88,High,Married,No,11,15,Better,3,6755
Female,40,Travel_Rarely,Research & Development,10,Master,Very High,46,High,Married,Yes,13,10,Better,7,2213
Male,21,Non-Travel,Sales,9,College,Low,39,Very High,Single,No,24,3,Good,3,2610
Female,33,Travel_Rarely,Sales,5,Bachelor,Very High,34,High,Single,Yes,13,1,Better,1,2851
Female,37,Travel_Rarely,Research & Development,10,Bachelor,High,98,Low,Married,No,20,17,Better,5,3452
Female,46,Non-Travel,Research & Development,7,Master,High,30,High,Married,No,14,7,Best,1,5258
Male,41,Travel_Frequently,Sales,4,Bachelor,Low,56,Medium,Single,No,18,8,Better,8,9355
Male,50,Travel_Rarely,Research & Development,10,Bachelor,Very High,100,Very High,Single,No,15,20,Better,4,10496
Male,40,Travel_Rarely,Sales,22,College,High,68,High,Married,Yes,12,8,Better,6,6380
Male,31,Travel_Rarely,Research & Development,9,Master,High,42,Medium,Single,Yes,16,3,Better,2,2657
Female,21,Travel_Rarely,Sales,12,Bachelor,High,90,Medium,Single,No,15,1,Better,1,2716
Male,29,Travel_Rarely,Research & Development,23,Bachelor,Very High,54,Very High,Single,No,16,6,Better,3,2201
Male,35,Travel_Rarely,Research & Development,9,Master,High,97,Medium,Single,No,19,10,Better,1,6540
Male,27,Travel_Rarely,Research & Development,1,College,Very High,82,Medium,Divorced,No,11,5,Better,5,3816
Male,28,Travel_Rarely,Sales,9,Master,Medium,92,Very High,Single,No,16,7,Better,7,5253
Male,49,Travel_Rarely,Research & Development,7,Bachelor,Medium,31,High,Single,No,24,26,Better,5,10965
Female,51,Travel_Rarely,Sales,14,College,High,87,Very High,Married,No,11,18,Good,7,4936
Female,36,Travel_Rarely,Research & Development,2,Bachelor,Very High,96,High,Married,No,13,6,Better,2,2543
Male,34,Non-Travel,Sales,19,Bachelor,Low,67,Very High,Single,Yes,13,9,Good,5,5304
Female,55,Travel_Rarely,Research & Development,2,Bachelor,High,97,Very High,Single,Yes,13,30,Better,5,16659
Female,24,Travel_Rarely,Sales,10,Master,Very High,77,High,Divorced,Yes,12,5,Best,5,4260
Male,30,Travel_Rarely,Sales,2,Highschool,High,72,Medium,Married,No,18,1,Better,1,2476
Male,26,Travel_Frequently,Research & Development,3,Highschool,High,73,Low,Single,No,22,7,Better,6,3102
Female,22,Travel_Rarely,Research & Development,11,Bachelor,Low,43,Medium,Married,No,13,2,Better,2,2244
Male,36,Travel_Rarely,Sales,2,College,Medium,61,High,Married,No,13,10,Better,10,7596
Male,30,Travel_Frequently,Research & Development,4,Bachelor,High,40,Very High,Single,Yes,23,3,Better,1,2285
Female,37,Travel_Rarely,Research & Development,14,Bachelor,Very High,95,Low,Divorced,No,12,18,Good,18,3034
Female,40,Travel_Rarely,Sales,2,College,Very High,46,Medium,Divorced,No,12,8,Better,5,5715
Female,42,Travel_Rarely,Research & Development,1,Master,Medium,95,Low,Divorced,No,16,8,Better,5,2576
Male,37,Travel_Rarely,Research & Development,10,Master,High,49,Medium,Single,Yes,12,18,Good,1,4197
Male,43,Travel_Rarely,Research & Development,12,Bachelor,Low,59,Medium,Divorced,No,11,25,Better,25,14336
Female,40,Travel_Rarely,Research & Development,2,Bachelor,Medium,78,High,Married,No,22,20,Better,1,3448
Male,54,Travel_Rarely,Research & Development,5,College,Low,86,Low,Married,No,11,24,Good,4,19406
Female,34,Non-Travel,Sales,4,Master,High,72,High,Married,No,15,6,Better,3,6538
Female,31,Travel_Rarely,Research & Development,7,College,Medium,31,Low,Married,No,12,13,Bad,13,4306
Male,43,Travel_Frequently,Research & Development,21,Bachelor,Very High,61,Very High,Married,No,20,8,Better,3,2258
Female,43,Travel_Rarely,Research & Development,8,Master,High,74,High,Divorced,Yes,14,8,Better,5,4522
Female,25,Travel_Rarely,Sales,4,College,Medium,99,Very High,Single,Yes,11,5,Better,5,4487
Female,37,Non-Travel,Research & Development,25,Doctor,Medium,72,High,Married,Yes,15,15,Better,13,4449
Male,31,Travel_Rarely,Research & Development,1,College,Very High,98,Low,Married,No,12,4,Better,4,2218
Male,39,Travel_Frequently,Research & Development,1,Highschool,Medium,52,High,Divorced,Yes,14,21,Better,21,19197
Female,56,Travel_Frequently,Sales,6,Bachelor,High,86,Low,Married,No,11,36,Good,7,13212
Female,30,Travel_Rarely,Sales,12,Bachelor,Medium,83,High,Single,No,11,6,Better,5,6577
Male,41,Travel_Rarely,Sales,1,Bachelor,Medium,49,Low,Married,No,16,10,Better,10,8392
Male,28,Travel_Rarely,Research & Development,17,College,High,79,Low,Divorced,No,12,10,Better,10,4558
Male,25,Travel_Rarely,Research & Development,3,Bachelor,Low,91,Low,Married,No,13,6,Better,2,4031
Male,52,Travel_Rarely,Research & Development,3,Bachelor,Very High,39,High,Married,Yes,14,28,Better,5,7969
Male,45,Travel_Rarely,Research & Development,10,College,Low,69,Very High,Married,No,21,8,Good,2,2654
Female,52,Travel_Rarely,Research & Development,4,College,Very High,30,Very High,Married,No,13,31,Bad,5,16555
Female,42,Travel_Frequently,Research & Development,29,College,Low,92,High,Divorced,No,11,19,Better,5,4556
Female,30,Travel_Rarely,Research & Development,2,Bachelor,High,43,Very High,Single,No,20,11,Better,5,6091
Female,60,Travel_Rarely,Research & Development,7,Bachelor,Low,41,Low,Married,No,11,33,Bad,29,19566
Female,46,Travel_Rarely,Research & Development,18,Bachelor,High,87,High,Divorced,No,14,19,Good,10,4810
Female,42,Travel_Frequently,Research & Development,28,Master,Very High,88,Very High,Married,No,11,7,Best,6,4523
Female,24,Travel_Rarely,Sales,1,Highschool,Low,62,Medium,Single,Yes,16,6,Better,5,3202
Female,34,Travel_Frequently,Sales,6,College,Very High,33,High,Divorced,No,16,3,Good,2,2351
Male,38,Travel_Frequently,Research & Development,2,College,Very High,42,Very High,Married,Yes,23,1,Better,1,1702
Female,40,Travel_Rarely,Sales,2,Master,High,79,High,Married,No,14,21,Better,20,18041
Female,26,Travel_Rarely,Research & Development,23,Bachelor,Low,90,Very High,Divorced,No,22,3,Bad,3,2886
Male,30,Non-Travel,Research & Development,3,Bachelor,High,53,Very High,Married,No,15,9,Bad,5,2097
Male,29,Travel_Rarely,Research & Development,3,Master,Medium,93,High,Married,No,18,10,Better,10,11935
Female,29,Travel_Rarely,Research & Development,25,Doctor,High,71,Medium,Married,No,16,6,Best,2,2546
Male,19,Travel_Rarely,Human Resources,2,College,Low,52,Very High,Single,No,12,1,Best,1,2564
Female,30,Non-Travel,Sales,22,Master,High,69,Low,Married,No,11,10,Better,9,8412
Male,57,Travel_Rarely,Sales,29,Bachelor,Low,56,Very High,Divorced,No,12,32,Good,1,14118
Male,50,Travel_Rarely,Research & Development,29,Master,Medium,88,High,Married,No,15,28,Better,27,17046
Female,30,Non-Travel,Research & Development,2,Bachelor,High,49,Very High,Single,No,14,12,Good,11,2564
Female,60,Travel_Frequently,Sales,28,Bachelor,High,80,Low,Married,No,19,22,Best,18,10266
Female,47,Travel_Rarely,Research & Development,2,College,Low,65,Very High,Divorced,No,13,20,Better,5,5070
Male,46,Travel_Rarely,Research & Development,2,Bachelor,Low,51,High,Married,No,13,26,Bad,3,17861
Male,35,Travel_Rarely,Research & Development,22,Bachelor,Very High,46,High,Single,No,15,6,Better,5,4230
Female,54,Travel_Rarely,Research & Development,8,Master,High,42,High,Single,No,11,19,Better,1,3780
Male,34,Travel_Rarely,Research & Development,2,Master,Very High,62,High,Divorced,No,12,14,Better,7,2768
Female,46,Travel_Rarely,Sales,10,Bachelor,High,94,Very High,Married,Yes,19,15,Better,3,9071
Male,31,Travel_Rarely,Research & Development,9,Highschool,High,33,Medium,Divorced,No,25,13,Best,13,10648
Male,33,Travel_Rarely,Research & Development,15,Highschool,Medium,56,High,Married,Yes,12,15,Best,7,13610
Male,33,Travel_Rarely,Research & Development,10,Highschool,Low,38,Very High,Divorced,No,13,8,Better,4,3408
Male,30,Travel_Rarely,Sales,7,Highschool,Very High,57,Medium,Single,No,14,4,Better,3,2983
Male,35,Travel_Rarely,Research & Development,16,Bachelor,Very High,72,High,Married,Yes,12,10,Better,8,7632
Male,31,Travel_Frequently,Research & Development,20,Bachelor,Low,66,High,Married,No,12,12,Better,1,9824
Female,34,Travel_Frequently,Human Resources,23,Bachelor,Medium,43,Low,Divorced,Yes,15,11,Better,3,9950
Male,42,Travel_Frequently,Research & Development,5,College,Medium,97,High,Married,No,17,8,Better,2,2093
Male,36,Non-Travel,Sales,10,Master,Medium,32,Very High,Single,No,14,10,Good,10,9980
Male,22,Travel_Frequently,Research & Development,4,Highschool,High,99,High,Single,No,16,4,Better,2,3894
Female,48,Travel_Rarely,Sales,2,Doctor,Medium,37,Very High,Married,No,14,14,Better,9,4051
Female,55,Travel_Rarely,Sales,18,Doctor,Low,83,Medium,Single,No,23,37,Better,10,16835
Male,41,Non-Travel,Sales,10,College,Very High,56,Very High,Single,No,14,16,Better,14,6230
Male,35,Travel_Rarely,Sales,1,Bachelor,Medium,85,High,Married,No,11,15,Better,11,4717
Female,40,Travel_Rarely,Research & Development,6,Bachelor,Medium,75,High,Single,No,15,22,Better,20,13237
Female,39,Travel_Frequently,Research & Development,8,Highschool,High,48,High,Married,No,11,8,Better,8,3755
Male,31,Travel_Rarely,Sales,2,Highschool,Medium,77,Very High,Single,Yes,13,10,Best,6,6582
Male,42,Travel_Rarely,Research & Development,24,Bachelor,Very High,56,Low,Married,Yes,21,10,Good,10,7406
Male,45,Travel_Rarely,Sales,2,Bachelor,Very High,61,Medium,Married,No,19,9,Best,8,4805
Female,26,Travel_Frequently,Human Resources,17,Master,Medium,58,High,Divorced,Yes,11,8,Good,7,2741
Male,29,Travel_Rarely,Research & Development,19,Bachelor,Very High,34,Very High,Divorced,No,12,8,Best,3,4262
Female,33,Travel_Rarely,Research & Development,1,Doctor,Low,95,High,Divorced,No,19,10,Better,6,16184
Male,31,Travel_Rarely,Sales,7,Bachelor,High,44,Very High,Divorced,No,21,10,Good,5,11557
Male,18,Travel_Frequently,Sales,5,Bachelor,Medium,69,Medium,Single,Yes,14,0,Better,0,1878
Male,40,Non-Travel,Sales,28,Bachelor,High,58,Low,Divorced,No,15,20,Better,1,10932
Female,41,Non-Travel,Research & Development,2,Master,Low,62,High,Single,Yes,17,10,Better,8,6811
Male,26,Travel_Rarely,Sales,29,College,Low,45,High,Divorced,No,12,8,Better,0,4306
Female,35,Travel_Rarely,Sales,1,Bachelor,Low,80,High,Single,No,16,5,Better,5,4859
Male,34,Travel_Rarely,Sales,21,Master,Very High,74,Very High,Single,No,12,10,Better,10,5337
Male,26,Travel_Rarely,Research & Development,24,Bachelor,High,66,Very High,Single,Yes,18,1,Bad,1,2340
Female,37,Travel_Rarely,Research & Development,1,Bachelor,Medium,59,Very High,Single,No,17,12,Best,6,7491
Female,46,Travel_Frequently,Research & Development,18,Highschool,Low,86,High,Married,No,11,28,Good,2,10527
Female,41,Travel_Rarely,Sales,2,Doctor,Medium,91,Low,Married,No,16,22,Better,18,16595
Male,37,Non-Travel,Sales,9,Master,Low,69,Medium,Divorced,No,13,9,Better,9,8834
Male,52,Travel_Rarely,Research & Development,6,College,Very High,78,Low,Divorced,Yes,12,18,Better,10,5577
Male,32,Non-Travel,Sales,11,Master,Very High,60,High,Married,No,12,6,Better,4,4707
Male,24,Travel_Frequently,Sales,24,Bachelor,Very High,38,Very High,Married,No,13,3,Better,2,2400
Female,38,Travel_Rarely,Research & Development,10,Bachelor,High,76,High,Married,No,19,18,Better,1,9824
Female,37,Travel_Rarely,Research & Development,1,Master,Medium,65,Medium,Married,No,12,8,Good,6,6447
Male,49,Travel_Rarely,Research & Development,18,Master,Very High,58,High,Divorced,Yes,17,31,Better,31,19502
Male,24,Travel_Rarely,Research & Development,23,Bachelor,Medium,89,Very High,Married,Yes,11,6,Better,6,2725
Male,26,Travel_Rarely,Sales,28,College,Low,66,Medium,Married,No,20,6,Best,5,6272
Male,24,Travel_Rarely,Research & Development,17,College,Very High,94,Medium,Married,No,21,1,Better,1,2127
Male,50,Travel_Frequently,Human Resources,3,Bachelor,Low,99,Medium,Married,No,11,32,Better,32,18200
Male,25,Travel_Rarely,Sales,13,Highschool,Medium,40,High,Married,No,11,7,Better,7,2096
Female,24,Travel_Frequently,Research & Development,7,Bachelor,Low,55,High,Married,Yes,16,6,Better,6,2886
Male,30,Travel_Frequently,Sales,12,Master,Medium,74,Low,Married,No,18,1,Best,1,2033
Male,34,Travel_Rarely,Research & Development,1,College,Medium,83,Very High,Married,Yes,13,6,Better,6,3622
Male,31,Travel_Rarely,Sales,13,Master,Medium,46,Low,Divorced,No,17,9,Bad,3,4233
Male,35,Travel_Rarely,Research & Development,25,College,Low,54,Very High,Single,No,14,9,Better,3,3681
Male,31,Travel_Rarely,Sales,6,Master,Low,66,Very High,Divorced,No,22,13,Best,7,5460
Female,27,Travel_Rarely,Research & Development,6,Master,Low,66,High,Divorced,No,12,6,Good,5,2187
Male,37,Travel_Rarely,Sales,2,Bachelor,Very High,75,High,Married,Yes,11,17,Good,3,9602
Female,20,Travel_Rarely,Research & Development,1,Bachelor,Very High,83,Medium,Single,No,13,1,Best,1,2836
Female,42,Travel_Rarely,Research & Development,2,Master,High,81,Very High,Married,No,13,10,Better,10,4089
Male,43,Travel_Rarely,Research & Development,6,Master,Medium,50,Very High,Divorced,Yes,14,21,Good,1,16627
Female,38,Travel_Rarely,Research & Development,1,Highschool,High,43,Low,Single,No,17,8,Good,0,2619
Male,43,Travel_Frequently,Research & Development,9,Doctor,Very High,72,High,Divorced,Yes,13,10,Better,8,5679
Female,48,Travel_Rarely,Research & Development,1,Master,Very High,40,Low,Married,No,11,21,Bad,3,15402
Female,44,Travel_Rarely,Human Resources,1,Master,Low,50,High,Single,No,11,10,Best,2,5985
Female,34,Travel_Rarely,Sales,14,Bachelor,High,31,High,Divorced,Yes,18,8,Better,8,2579
Male,27,Travel_Rarely,Sales,2,Highschool,High,85,Low,Divorced,No,11,5,Better,4,3041
Male,21,Travel_Rarely,Sales,22,Highschool,High,49,High,Single,No,11,3,Better,3,3447
Male,44,Travel_Rarely,Research & Development,3,Master,Very High,35,Very High,Married,Yes,12,26,Best,2,19513
Male,22,Travel_Rarely,Research & Development,6,Highschool,Low,69,High,Married,No,20,3,Better,2,2773
Male,33,Travel_Rarely,Sales,8,Master,High,39,High,Divorced,No,12,6,Better,5,7104
Female,32,Travel_Rarely,Research & Development,9,Master,Low,92,Very High,Married,Yes,12,6,Good,6,6322
Female,30,Travel_Frequently,Research & Development,3,Bachelor,High,71,High,Divorced,No,20,1,Better,1,2083
Female,53,Travel_Rarely,Sales,1,Highschool,Very High,34,Low,Single,No,20,18,Best,14,8381
Male,34,Travel_Rarely,Research & Development,1,Doctor,Medium,42,Very High,Married,No,12,10,Good,10,2691
Female,45,Travel_Frequently,Sales,26,Master,Low,100,Low,Married,No,14,5,Better,1,4286
Female,26,Travel_Rarely,Research & Development,6,Bachelor,High,71,Very High,Married,Yes,13,3,Better,3,2659
Male,37,Travel_Rarely,Research & Development,3,Bachelor,High,36,High,Married,No,15,10,Better,10,9434
Female,29,Travel_Rarely,Sales,3,College,Medium,62,High,Married,No,14,6,Good,6,5561
Male,35,Travel_Rarely,Research & Development,6,Master,Medium,82,Very High,Single,No,13,17,Better,17,6646
Male,33,Travel_Frequently,Research & Development,6,Bachelor,High,30,Very High,Divorced,No,23,15,Bad,13,7725
Male,54,Travel_Rarely,Human Resources,19,Master,High,88,Medium,Married,No,15,16,Best,9,10725
Male,36,Travel_Rarely,Research & Development,9,College,Medium,48,Medium,Divorced,Yes,11,13,Better,3,8847
Male,27,Travel_Rarely,Research & Development,3,Master,Low,54,Very High,Single,No,13,5,Better,4,2045
Male,20,Travel_Rarely,Research & Development,10,Highschool,Very High,32,High,Single,Yes,11,1,Better,1,1009
Male,33,Travel_Frequently,Research & Development,3,Bachelor,Low,70,Low,Single,Yes,11,10,Better,10,3348
Male,35,Non-Travel,Research & Development,3,Bachelor,High,41,High,Married,No,18,1,Better,1,1281
Male,23,Travel_Rarely,Research & Development,4,Bachelor,Low,58,Low,Married,No,16,5,Best,3,2819
Male,25,Travel_Rarely,Sales,8,Bachelor,Very High,57,Medium,Married,No,22,4,Better,3,4851
Female,38,Travel_Rarely,Sales,7,Master,Very High,46,Very High,Single,No,20,8,Better,7,4028
Male,29,Travel_Frequently,Research & Development,1,Master,Medium,76,Very High,Divorced,No,18,10,Better,10,2720
Male,48,Travel_Rarely,Sales,2,Highschool,Medium,56,Medium,Married,No,12,12,Better,2,8120
Female,27,Travel_Frequently,Sales,3,Highschool,Very High,71,Very High,Divorced,Yes,20,6,Better,6,4647
Male,37,Travel_Rarely,Research & Development,10,College,Very High,80,Very High,Single,No,17,4,Better,1,4680
Male,50,Travel_Rarely,Research & Development,28,Highschool,Very High,74,High,Married,Yes,11,20,Better,20,3221
Female,34,Travel_Rarely,Research & Development,9,Bachelor,Very High,46,Medium,Single,No,14,9,Best,8,8621
Female,24,Travel_Rarely,Sales,3,College,Low,65,High,Single,No,14,4,Better,2,4577
Female,39,Travel_Rarely,Research & Development,2,Master,Very High,80,High,Single,No,11,20,Better,20,4553
Male,32,Travel_Rarely,Sales,10,Bachelor,Very High,55,Very High,Single,No,12,10,Good,10,5396
Male,50,Travel_Frequently,Sales,8,College,Medium,50,High,Married,Yes,14,18,Better,4,6796
Female,38,Travel_Rarely,Research & Development,1,Master,Medium,33,Very High,Single,No,13,10,Good,9,7625
Female,27,Travel_Rarely,Research & Development,1,College,High,68,Low,Married,No,11,9,Better,9,7412
